user_id,username,post_id,title,view_count,average_rating,upvote_count,interaction_type,video_link,category_id,category_description,Mood
50,001893.71341311c5ef4ebf9c3aead59ff9075f.1809,583,,75,44,57,liked,https://video-cdn.socialverseapp.com/kinha_45eba31d-c673-454a-af99-a55dd49da9ee.mp4,2,All the best vibes!,Happy
44,tarak,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
19,johntest,560,,212,9,56,liked,https://video-cdn.socialverseapp.com/kinha_204aa876-b5ba-424f-8f62-239c4d185459.mp4,2,All the best vibes!,Happy
58,001233.62fc4b0a666d4989a9401e489217b29c.2047,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
60,000429.2722a574121841829569cbb85737140f.0051,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
61,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016,586,,87,0,67,liked,https://video-cdn.socialverseapp.com/kinha_e3a2c020-8be7-48c4-8aae-7ef3e5d8519b.mp4,2,All the best vibes!,Happy
61,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
61,000819.9c3b2302f8ae4b23904bfd200d3a8d4f.1016,583,,75,44,57,liked,https://video-cdn.socialverseapp.com/kinha_45eba31d-c673-454a-af99-a55dd49da9ee.mp4,2,All the best vibes!,Happy
67,001153.9ff163adaa53430ab00844ddadde6a8c.1626,563,,53,0,58,liked,https://video-cdn.socialverseapp.com/kinha_09ae85e6-fd87-4825-9d3a-232b7c74e5d4.mp4,2,All the best vibes!,Happy
1,afrobeezy,15,Our Existential Situation,70,33,64,liked,https://video-cdn.socialverseapp.com/michael_b09d05b2-b2ec-4136-b14e-36483ff6a406.mp4,2,All the best vibes!,Happy
70,000146.566787d21ddf4b49a33d4431c62af5ca.0546,547,,57,0,70,liked,https://video-cdn.socialverseapp.com/kinha_e61c90c0-ca72-461c-bc74-2fb54f0bfcaa.mp4,2,All the best vibes!,Happy
70,000146.566787d21ddf4b49a33d4431c62af5ca.0546,546,,70,37,46,liked,https://video-cdn.socialverseapp.com/kinha_15b7d260-79af-4baa-9993-6aad8e840e0c.mp4,2,All the best vibes!,Happy
74,001949.5f95384a28ad4fabb67e37ff9884ed13.1142,583,,75,44,57,liked,https://video-cdn.socialverseapp.com/kinha_45eba31d-c673-454a-af99-a55dd49da9ee.mp4,2,All the best vibes!,Happy
74,001949.5f95384a28ad4fabb67e37ff9884ed13.1142,586,,87,0,67,liked,https://video-cdn.socialverseapp.com/kinha_e3a2c020-8be7-48c4-8aae-7ef3e5d8519b.mp4,2,All the best vibes!,Happy
76,001909.8d1d4e404efb4cb0b9830091a93c3c99.0619,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
77,000845.0117b20e90f94c87abf936d267958085.1312,590,,163,35,59,liked,https://video-cdn.socialverseapp.com/kinha_6ae0dbb4-0617-46cc-a73e-978a608256c7.mp4,2,All the best vibes!,Happy
65,000696.b213405e4294424bb1999815127bfe1c.0425,583,,75,44,57,liked,https://video-cdn.socialverseapp.com/kinha_45eba31d-c673-454a-af99-a55dd49da9ee.mp4,2,All the best vibes!,Happy
65,000696.b213405e4294424bb1999815127bfe1c.0425,546,,70,37,46,liked,https://video-cdn.socialverseapp.com/kinha_15b7d260-79af-4baa-9993-6aad8e840e0c.mp4,2,All the best vibes!,Happy
